Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,Pub_Year,Device_Weight_kg_log,Publication_Year,Publication_Month,Publication_Day,Risk_Indicator,Device_Category,Year
Dialysis Machine,Max468,Convatec,Rev. 7.6,13-08-2019,Class IIa,TGA-871542,Geriatric,Designed for home-based radiation therapy in stable hemodynamically unstable patients with chronic cancer.,Avoid use in patients with active infections or severe sepsis.,Single-Use Sterile,13,18,11,78.71,10,2019,4.378395048,2019,8,13,31,Very Heavy,2019
Insulin Pump,X-2692,Karl Storz,Version 8,2-09-2015,Class IIa,UKCA25228,Infant (0-2),Designed for life support in patients with sepsis under medical supervision.,Not recommended for use in burn patients or those with renal insufficiency.,Pre-Sterilized,8,16,8,2.87,39,2015,1.353254507,2015,9,2,24,Very Low,2015
Electrosurgical Unit,DEX302,Dexcom,Version 1,27-03-2021,Class I,H710855,Pediatric (2-18),Used for pain management administration in pediatric hospital units under specialist supervision.,"Not recommended during pregnancy, lactation, or in organ transplant under 15 years.",Steam Sterilization,10,25,12,15.61,13,2021,2.810004924,2021,3,27,35,Low,2021
Ventilator,ALC239,Alcon,Version 4,18-02-2015,Class IIa,PMDA-332129,Geriatric,Indicated for diagnostic measurement to assess critical illness in clinical environments.,Do not use in combination with muscle relaxants or cardiac therapy modalities.,Single-Use Sterile,23,25,14,105.83,11,2015,4.671238786,2015,2,18,48,Very Heavy,2015
Surgical Drill,X-1292,Convatec,2021-02-Z,20-01-2020,Class III,NMPA-528301,Adult and Pediatric,Intended for specimen collection support in cardiac catheterization laboratory environments.,Not suitable for use with metallic particles or in home use.,Hydrogen Peroxide Plasma,22,26,14,16.67,22,2020,2.871868286,2020,1,20,48,Low,2020
Insulin Pump,X-5630,Mindray,2022-06-R,26-03-2018,Class I,P247017,Adult (>65),Designed for preventive screening assistance in geriatric care facilities for elderly patients.,"Not recommended during pregnancy, lactation, or in critically ill under 13 years.",Gamma Irradiation,10,15,10,4.8,31,2018,1.757857918,2018,3,26,25,Very Low,2018
Digital Thermometer,SON885,Sonova,2021-01-R,7-05-2018,Class I,D270001,All,Indicated for temperature optimization in sleep medicine centers for respiratory disorders.,Contraindicated in presence of conductive gels or during therapeutic ultrasound.,Chemical Sterilization,5,4,4,0.25,23,2018,0.223143551,2018,5,7,9,Very Low,2018
Pacemaker,Model 2047,Steris,Rev. 4.7,22-12-2024,Class III,CE5653,Adult (18-65),Used for fluid resuscitation guidance in oncology treatment centers for cancer patients.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Not Applicable,3,8,19,0.01,42,2024,0.009950331,2024,12,22,11,Very Low,2024
Surgical Robot,Max826,Biomérieux,v12.4,22-09-2015,Class III,TGA-811678,Infant (0-2),Designed for intubation facilitation in telemedicine and remote patient monitoring.,Contraindicated in patients with cardiomyopathy or burns risk.,Chemical Sterilization,24,24,11,2.76,31,2015,1.324418957,2015,9,22,48,Very Low,2015
Ventilator,COO799,Cook Medical,Rev. 6.4,20-11-2025,Class I,D398841,Adult (18-65),Used for emergency joint replacement in acute sepsis situations requiring immediate care.,Avoid use in patients with severe anemia or uncontrolled malignant hyperthermia.,Single-Use Sterile,21,14,9,125.98,18,2025,4.844029594,2025,11,20,35,Very Heavy,2025
Surgical Drill,ABB898,Abbott,2024-07-J,6-03-2019,Class III,D121369,Neonatal,Designed for patient rehabilitation assistance in geriatric care facilities for elderly patients.,Do not use if battery depletion is detected or quality control has expired.,Autoclave,16,23,9.758918071,10.18,23,2019,2.414126468,2019,3,6,39,Low,2019
CPAP Machine,Max847,Aesculap,v3.5,13-08-2016,Class III,MDR-920176,Pediatric (2-18),Designed for stent placement facilitation in telemedicine and remote patient monitoring.,Do not use if battery depletion is detected or quality control has expired.,Ethylene Oxide (EtO),9,10,10,11.15,22,2016,2.49732917,2016,8,13,19,Low,2016
Insulin Pump,B-8036,Idexx Laboratories,Rev. 5.9,29-11-2016,Class IIb,HDE508631,Pediatric (2-18),Used for long-term drug delivery delivery in ambulatory care settings for critical illness patients.,Contraindicated in patients with pacemakers or burns risk.,UV Sterilization,6,19,10,7.46,12,2016,2.135349174,2016,11,29,25,Very Low,2016
Patient Monitor,X-2380,Coloplast,v11.7,7-08-2019,Class I,PMA634433,Infant (0-2),Indicated for pH levels surveillance in infection control protocols.,Not suitable for use during MRI scanning or X-ray.,Hydrogen Peroxide Plasma,8,16,5,6.31,36,2019,1.989243274,2019,8,7,24,Very Low,2019
Blood Pressure Monitor,ZIM755,Zimmer Biomet,Version 16,14-08-2023,Class III,TGA-601749,Pediatric (2-18),Intended for imaging verification in quality assurance and device validation protocols.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,12,16,7,15.51,30,2023,2.803966258,2023,8,14,28,Low,2023
Ultrasound Scanner,B-4979,Dentsply Sirona,v3.9,20-10-2020,Class III,Q893205,All,Designed for drug delivery optimization in chronic disease management programs.,Do not use if sensor failure is detected or quality control has expired.,Chemical Sterilization,10,5,4,9.27,34,2020,2.329227024,2020,10,20,15,Very Low,2020
Digital Thermometer,X-6919,Cardinal Health,Version 1,25-04-2015,Class III,BLA664229,Adult (>65),Designed for electrotherapy optimization in chronic disease management programs.,"Not recommended during pregnancy, lactation, or in trauma under 13 years.",Not Applicable,10,8,6,0.39,28,2015,0.329303747,2015,4,25,18,Very Low,2015
Digital Thermometer,A-3737,Synthes,v15.1,27-03-2022,Class IIb,NDA303730,Pediatric,Intended for preventive screening therapy in intensive care unit environments for critically ill patients.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Gamma Irradiation,7,3,7,15.51,29,2022,2.803966258,2022,3,27,10,Low,2022
Surgical Drill,SAR755,Sartorius,Version 1,19-06-2025,Class III,BLA696694,Adult and Pediatric,Indicated for real-time glucose levels assessment in emergency department triage protocols.,Not suitable for use in radiation therapy areas with radiation or during unsupervised use.,Dry Heat,16,24,6,6.9,30,2025,2.066862759,2025,6,19,40,Very Low,2025
Syringe Pump,Max656,Roche,v8.4,29-06-2019,Class IIa,UKCA37119,Pediatric,Intended for assessment verification in quality assurance and device validation protocols.,Do not use in patients with severe hypertension. Contraindicated in storage conditions.,Dry Heat,14,8,7,5.28,22,2019,1.83736998,2019,6,29,22,Very Low,2019
Pacemaker,Model 8405,Mölnlycke Health Care,Rev. 3.7,11-11-2025,Class II,CE5653,Infant (0-2),Indicated for real-time pulmonary function assessment in emergency department triage protocols.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,4,6,12,0.1,26.7,2025,0.09531018,2025,11,11,10,Very Low,2025
Surgical Robot,X-8816,Fresenius Medical Care,Version 17,28-09-2016,Class IIa,PMA992639,Adult (>65),Indicated for electrolyte balance optimization in sleep medicine centers for respiratory disorders.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,13,21,14,17,35,2016,2.890371758,2016,9,28,34,Low,2016
Surgical Robot,Plus843,Baxter International,v12.5,13-12-2019,Class III,PMDA-446755,Adult and Pediatric,Indicated for routine sterilization screening in outpatient clinical facilities.,Avoid use in patients with active autoimmune disorders or compromised cardiovascular function.,Hydrogen Peroxide Plasma,15,18,11,9.78,18,2019,2.377692565,2019,12,13,33,Very Low,2019
CPAP Machine,INT847,Intuitive Surgical,Rev. 9.7,31-08-2019,Class III,H618816,Neonatal,Indicated for oxygen saturation surveillance in infection control protocols.,Avoid use if patient has immunodeficiency or history of embolism.,Chemical Sterilization,8,12,8,19.21,21,2019,3.006177531,2019,8,31,20,Low,2019
Wound Care System,Model 446,Align Technology,Version 14,18-08-2022,Class I,P383980,Infant (0-2),Used for thermal therapy guidance in oncology treatment centers for cancer patients.,Contraindicated in presence of muscle relaxants or during cryotherapy.,Chemical Sterilization,10,8,10,16.34,37,2022,2.853015971,2022,8,18,18,Low,2022
Anesthesia Machine,Model 5529,Cardinal Health,Version 3,18-06-2020,Class III,NMPA-899510,Adult (18-65),Used for chemotherapy administration in pediatric hospital units under specialist supervision.,Not recommended in presence of pulmonary edema or at open wounds locations.,Hydrogen Peroxide Plasma,9,21,9,52.61,16,2020,3.981735618,2020,6,18,30,Very Heavy,2020
Digital Thermometer,Z-9227,Olympus Corporation,2020-09-K,17-04-2024,Class I,UKCA21865,Pediatric (2-18),Intended for blood transfusion delivery in palliative care settings for terminal patients.,Contraindicated in patients with metal implants or on antibiotics.,Gamma Irradiation,8,12,3,0.1,34,2024,0.09531018,2024,4,17,20,Very Low,2024
Pulse Oximeter,STE326,Steris,2025-09-E,18-10-2024,Class III,Q392817,Adult (18-65),Indicated for routine alarm management screening in outpatient clinical facilities.,Not recommended in presence of pulmonary edema or at open wounds locations.,Steam Sterilization,5,7,3,0.41,22,2024,0.343589704,2024,10,18,12,Very Low,2024
Ventilator,B-6441,Align Technology,Rev. 4.3,29-04-2024,Class IIb,IVDR-417590,Adult (18-65),Intended for life support therapy in intensive care unit environments for critically ill patients.,Do not use in patients with coagulopathy. Contraindicated in high altitude conditions.,Steam Sterilization,11,14,19,35.66,11,2024,3.601686242,2024,4,29,25,Heavy,2024
Stent,Max670,Dentsply Sirona,Version 4,27-09-2022,Class II,PMDA-186879,Geriatric,Used for intraoperative specimen collection monitoring during complex transplant surgeries.,Contraindicated in patients with severe coagulopathy or uncontrolled pacemakers.,Chemical Sterilization,2,4,7,0.12,39,2022,0.113328685,2022,9,27,6,Very Low,2022
Ultrasound Scanner,Model 7349,Nipro Corporation,Version 9,19-08-2023,Class IIa,K841236,Geriatric,Indicated for real-time oxygen saturation assessment in emergency department triage protocols.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,8,14,9,16.6,37,2023,2.867898902,2023,8,19,22,Low,2023
Blood Pressure Monitor,Model 7474,Alcon,v1.4,18-12-2018,Class III,Q773900,Neonatal,Used for oxygen therapy administration in pediatric hospital units under specialist supervision.,Do not use in patients with respiratory failure or severe hepatic dysfunction.,Hydrogen Peroxide Plasma,8,20,10,5.01,11,2018,1.793424749,2018,12,18,28,Very Low,2018
Orthopedic Implant,B-4265,Johnson & Johnson,Rev. 3.3,4-02-2021,Class IIa,D489768,All,Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with severe immunodeficiency or uncontrolled malignant hyperthermia.,Hydrogen Peroxide Plasma,2,4,16,0.01,40,2021,0.009950331,2021,2,4,6,Very Low,2021
Ultrasound Scanner,MIN825,Mindray,v12.4,5-01-2019,Class II,NMPA-855614,Pediatric,Intended for monitoring and measuring pulmonary function in radiation therapy patients in hospital and clinical settings.,Do not use if patient has known allergy to antiseptics or hypersensitivity to petroleum products.,Hydrogen Peroxide Plasma,3,7,13,13.87,26.7,2019,2.69934576,2019,1,5,10,Low,2019
Wound Care System,Model 8212,Dexcom,v15.5,26-10-2017,Class III,CE7688,Adult and Pediatric,Indicated for blood pressure optimization in sleep medicine centers for respiratory disorders.,Avoid use in patients with pins and wires or cochlear implants. Not suitable for chemical exposure areas.,UV Sterilization,8,11,14,4.65,28,2017,1.731655545,2017,10,26,19,Very Low,2017
Blood Glucose Monitor,TER856,Terumo,2020-08-H,4-09-2023,Class IIa,D160475,Pediatric,Designed for pacemaker implantation facilitation in telemedicine and remote patient monitoring.,Not suitable for use in fire hazard zones with radiation or during hyperbaric chambers.,Dry Heat,8,17,7,0.18,20,2023,0.165514438,2023,9,4,25,Very Low,2023
CPAP Machine,JOH954,Johnson & Johnson,v14.9,1-06-2023,Class III,MDR-753753,All,Designed for wound debridement support in neonatal intensive care environments.,Contraindicated in patients with severe diabetes or unable to remain still.,Steam Sterilization,5,15,13,7.77,25,2023,2.171336806,2023,6,1,20,Very Low,2023
Surgical Drill,B-4323,Olympus Corporation,Rev. 6.3,10-11-2025,Class II,HDE435214,Adult (18-65),Intended for disease management therapy in intensive care unit environments for critically ill patients.,Not recommended for use in critically ill patients or those with renal insufficiency.,Dry Heat,11,23,10,9.58,20,2025,2.358965426,2025,11,10,34,Very Low,2025
Digital Thermometer,DEX716,Dexcom,Rev. 10.1,24-04-2019,Class II,UKCA53440,Pediatric,Designed for perioperative cardiac output management during ophthalmic interventions.,Do not use if patient has known allergy to bronchodilators or hypersensitivity to bronchodilators.,UV Sterilization,3,10,5,0.22,20,2019,0.198850859,2019,4,24,13,Very Low,2019
Catheter,X-2863,Beckman Coulter,Rev. 4.4,14-02-2017,Class II,NMPA-408687,Adult (18-65),Designed for mechanical ventilation support in neonatal intensive care environments.,Do not use in combination with muscle relaxants or wound irrigation modalities.,UV Sterilization,6,6,6,12.53,26,2017,2.604909442,2017,2,14,12,Low,2017
Orthopedic Implant,Plus248,Cooper Companies,v8.8,20-05-2021,Class III,UKCA48805,Geriatric,Intended for blood transfusion delivery in palliative care settings for terminal patients.,Do not use during general anesthesia administration or in comatose.,Single-Use Sterile,7,11,13,0.16,41,2021,0.148420005,2021,5,20,18,Very Low,2021
Blood Glucose Monitor,Model 5260,Smith & Nephew,2024-11-U,31-05-2020,Class III,CE5653,Pediatric,Intended for monitoring and measuring pH levels in substance abuse patients in hospital and clinical settings.,Contraindicated in patients with severe severe osteoporosis or uncontrolled pacemakers.,Gamma Irradiation,6,11,3,0.19,26.7,2020,0.173953307,2020,5,31,17,Very Low,2020
Ventilator,Model 8224,Stryker,Version 12,28-10-2019,Class I,D529691,Adult (18-65),Intended for catheterization delivery in palliative care settings for terminal patients.,Avoid use in patients with severe cardiac arrhythmias or severe thrombocytopenia.,Gamma Irradiation,21,20,9,72.12,35,2019,4.292101927,2019,10,28,41,Very Heavy,2019
Nebulizer,Plus376,Idexx Laboratories,v15.9,15-10-2025,Class II,H761310,Adult (>65),Designed for catheterization support in neonatal intensive care environments.,Do not use in patients with stroke or severe malignant hyperthermia.,UV Sterilization,3,11,12,7.4,37,2025,2.128231706,2025,10,15,14,Very Low,2025
Dialysis Machine,B-7112,Stryker,Version 4,18-10-2025,Class IIa,UKCA93514,All,Designed for perioperative pH levels management during gastroenterological interventions.,Not recommended for patients with sepsis or severe acute myocardial infarction.,Autoclave,8,11,13,16.91,27,2025,2.885359216,2025,10,18,19,Low,2025
Surgical Drill,Plus516,Steris,v10.4,20-07-2021,Class I,NMPA-652890,Neonatal,Designed for perioperative glucose levels management during transplant interventions.,Avoid use in patients with renal insufficiency or altered consciousness.,Steam Sterilization,25,21,12,4.97,37,2021,1.786746927,2021,7,20,46,Very Low,2021
